  idx        ==1700A==         |        ==1800A==         |        ==1900A==         |        ==2000A==         |        ==2100A==         |        ==2200A==         |        ==2300A==         |        ==2400A==         |        ==2500A==         |        ==2600A==         |        ==2700A==         |  
          Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |  
-----  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  
   51     0.1567     1.68e-10  |     0.1363     2.80e-10  |     0.1159     5.25e-10  |     0.0955     8.77e-10  |     0.0801     1.41e-09  |     0.0664     2.31e-09  |     0.0541     3.32e-09  |     0.0424     4.44e-09  |     0.0306     6.24e-09  |     0.0214     8.12e-09  |     0.0117     1.04e-08  |  
   52     0.1598     1.45e-10  |     0.1390     3.03e-10  |     0.1182     5.31e-10  |     0.0973     8.85e-10  |     0.0817     1.50e-09  |     0.0677     2.20e-09  |     0.0552     3.07e-09  |     0.0432     4.46e-09  |     0.0312     6.34e-09  |     0.0219     8.35e-09  |     0.0120     1.10e-08  |  
   53     0.1629     1.45e-10  |     0.1416     2.94e-10  |     0.1204     5.37e-10  |     0.0992     8.86e-10  |     0.0833     1.53e-09  |     0.0690     2.06e-09  |     0.0562     3.38e-09  |     0.0440     4.45e-09  |     0.0318     6.12e-09  |     0.0223     7.99e-09  |     0.0122     1.11e-08  |  
   54     0.1659     1.48e-10  |     0.1443     2.91e-10  |     0.1227     5.02e-10  |     0.1011     8.96e-10  |     0.0849     1.48e-09  |     0.0703     2.11e-09  |     0.0573     3.24e-09  |     0.0449     4.70e-09  |     0.0324     6.16e-09  |     0.0227     8.36e-09  |     0.0124     1.05e-08  |  
   55     0.1690     1.53e-10  |     0.1470     2.93e-10  |     0.1250     5.34e-10  |     0.1029     8.76e-10  |     0.0864     1.42e-09  |     0.0716     2.12e-09  |     0.0584     3.30e-09  |     0.0457     4.26e-09  |     0.0330     6.38e-09  |     0.0231     8.33e-09  |     0.0127     1.09e-08  |  
   56     0.1721     1.43e-10  |     0.1497     2.80e-10  |     0.1273     5.13e-10  |     0.1048     8.71e-10  |     0.0880     1.38e-09  |     0.0729     2.14e-09  |     0.0594     3.06e-09  |     0.0465     4.76e-09  |     0.0336     6.39e-09  |     0.0235     8.17e-09  |     0.0129     1.13e-08  |  
   57     0.1752     1.47e-10  |     0.1523     2.97e-10  |     0.1295     5.31e-10  |     0.1067     8.82e-10  |     0.0896     1.43e-09  |     0.0742     2.18e-09  |     0.0605     3.25e-09  |     0.0474     4.66e-09  |     0.0342     6.22e-09  |     0.0240     8.04e-09  |     0.0131     1.08e-08  |  
   58     0.1782     1.56e-10  |     0.1550     2.92e-10  |     0.1318     5.72e-10  |     0.1086     8.62e-10  |     0.0911     1.37e-09  |     0.0755     2.08e-09  |     0.0615     3.12e-09  |     0.0482     4.82e-09  |     0.0348     6.29e-09  |     0.0244     8.67e-09  |     0.0134     1.08e-08  |  
   59     0.1813     1.48e-10  |     0.1577     2.81e-10  |     0.1341     5.42e-10  |     0.1104     8.47e-10  |     0.0927     1.48e-09  |     0.0768     2.27e-09  |     0.0626     3.02e-09  |     0.0490     4.39e-09  |     0.0354     6.13e-09  |     0.0248     8.20e-09  |     0.0136     1.08e-08  |  
   60     0.1844     1.40e-10  |     0.1604     2.96e-10  |     0.1363     5.15e-10  |     0.1123     9.13e-10  |     0.0943     1.39e-09  |     0.0781     2.19e-09  |     0.0637     3.27e-09  |     0.0498     4.37e-09  |     0.0360     6.17e-09  |     0.0252     8.51e-09  |     0.0138     1.05e-08  |  
