wavelength,Vr (V),I_photo (A),sigma_photo (A)
1900A,0.47718,4.90876167084178e-10,1.5736367969703986e-11
1900A,0.4999,4.84055567084178e-10,1.5535036944321232e-11
1900A,0.52262,4.98761767084178e-10,1.665558556002837e-11
1900A,0.54535,4.90050967084178e-10,1.5774587033590628e-11
1900A,0.56807,4.87779367084178e-10,1.5639792304053324e-11
1900A,0.59079,4.76277267084178e-10,1.3304207732722216e-11
1900A,0.61351,4.83937967084178e-10,1.6354199704645457e-11
1900A,0.63624,4.68640967084178e-10,1.6367916082199516e-11
1900A,0.65896,4.76034367084178e-10,1.4099000554770737e-11
1900A,0.68168,4.64840167084178e-10,1.535940266644265e-11
1900A,0.7044,4.59541367084178e-10,1.4497701755872397e-11
1900A,0.72713,4.82026867084178e-10,1.3072901578235246e-11
1900A,0.74985,4.41040467084178e-10,1.3614062608946882e-11
1900A,0.77257,4.48667467084178e-10,1.4175528706962772e-11
1900A,0.7953,4.45662067084178e-10,1.4065365669197e-11
1900A,0.81802,4.20822967084178e-10,1.4345186799297024e-11
1900A,0.84074,4.38167767084178e-10,1.3702486512594188e-11
1900A,0.86346,4.10700367084178e-10,1.4128311415662015e-11
1900A,0.88619,4.12459567084178e-10,1.3688835872444582e-11
1900A,0.90891,4.2133716708417797e-10,1.4911972140646774e-11
1900A,0.93163,4.39214367084178e-10,1.3002282124316702e-11
1900A,0.95435,4.04824767084178e-10,1.3958140943905303e-11
1900A,0.97708,3.91927067084178e-10,1.2799566243975833e-11
1900A,0.9998,3.8398936708417797e-10,1.2411715953643382e-11
1900A,1.02252,4.0034146708417797e-10,1.1402564148709079e-11
1900A,1.04525,4.07075967084178e-10,1.0432236803074671e-11
1900A,1.06797,3.63021367084178e-10,1.2636774077284347e-11
1900A,1.09069,3.57176967084178e-10,1.1765224400215475e-11
1900A,1.11341,3.78931767084178e-10,1.0810982193021392e-11
1900A,1.13614,3.6437626708417797e-10,1.1620985265984362e-11
1900A,1.15886,3.5256086708417797e-10,1.072986845342596e-11
1900A,1.18158,3.30820867084178e-10,1.2059971412131358e-11
1900A,1.2043,3.42771867084178e-10,1.018544566724135e-11
1900A,1.22703,3.29354567084178e-10,1.0563718942277177e-11
1900A,1.24975,3.29652167084178e-10,1.0796874386850374e-11
1900A,1.27247,3.1524746708417797e-10,9.51874961703829e-12
1900A,1.2952,3.00880967084178e-10,9.885405845997504e-12
1900A,1.31792,3.07917867084178e-10,1.066640616318006e-11
1900A,1.34064,2.96946167084178e-10,9.419274447659206e-12
1900A,1.36336,2.94327867084178e-10,8.787427660226548e-12
1900A,1.38609,2.80881167084178e-10,9.4702022129797e-12
1900A,1.40881,2.83761167084178e-10,8.281775240455733e-12
1900A,1.43153,2.75128567084178e-10,8.974043281666387e-12
1900A,1.45425,2.50691367084178e-10,7.461267036009475e-12
1900A,1.47698,2.60337767084178e-10,7.862450243788547e-12
1900A,1.4997,2.57805767084178e-10,8.488449375356292e-12
1900A,1.52242,2.2326426708417798e-10,7.491804973220378e-12
1900A,1.54515,2.47161067084178e-10,6.144151564558089e-12
1900A,1.56787,2.0831866708417798e-10,6.9177312277094585e-12
1900A,1.59059,2.17708867084178e-10,6.781184536896973e-12
1900A,1.61331,2.03915167084178e-10,6.69903085275733e-12
1900A,1.63604,1.96848367084178e-10,6.115577595132091e-12
1900A,1.65876,1.92806167084178e-10,6.4363700389164705e-12
1900A,1.68148,1.76015667084178e-10,5.841777997417105e-12
1900A,1.7042,1.73280067084178e-10,5.190828752429674e-12
1900A,1.72693,1.69715167084178e-10,5.5588039710422065e-12
1900A,1.74965,1.52766467084178e-10,4.872310536924511e-12
1900A,1.77237,1.54051167084178e-10,4.680082206758938e-12
1900A,1.7951,1.29043367084178e-10,4.246924223026544e-12
1900A,1.81782,1.25673467084178e-10,4.213271859534655e-12
1900A,1.84054,1.2011806708417798e-10,4.16962176619434e-12
1900A,1.86326,1.1617986708417801e-10,3.607315406967709e-12
1900A,1.88599,1.06462867084178e-10,3.2272531428065274e-12
1900A,1.90871,9.3906307084178e-11,3.4327299544079506e-12
1900A,1.93143,8.8913237084178e-11,2.877885344441229e-12
1900A,1.95415,7.497764708417801e-11,2.5655599281407577e-12
1900A,1.97688,7.0870527084178e-11,2.426695068423227e-12
1900A,1.9996,6.253640708417801e-11,2.3683074794144886e-12
1900A,2.02232,5.0323827084177996e-11,2.0681231114422586e-12
1900A,2.04505,4.4326217084178e-11,1.9069589593333175e-12
1900A,2.06777,3.5155567084178e-11,1.690049592636148e-12
1900A,2.09049,2.5727677084177997e-11,1.3449108757038918e-12
1900A,2.11321,1.7755757084177998e-11,1.0836840137686674e-12
1900A,2.13594,1.0035767084178e-11,1.049592073723963e-12
1900A,2.15866,3.3290218417799997e-13,9.541246436080033e-13
1900A,2.18138,-1.853884915822e-12,1.0000711573916975e-12
1900A,2.2041,3.53671784178e-13,1.0063642405181233e-12
1900A,2.22683,-5.36416415822e-13,1.0582742539378057e-12
1900A,2.24955,-6.932984158219999e-13,1.0262667117688506e-12
2000A,0.0,9.01048767084178e-10,2.951317584554779e-11
2000A,0.01872,9.07172567084178e-10,2.7450222136083446e-11
2000A,0.03744,8.75387167084178e-10,2.740609771393815e-11
2000A,0.05616,9.21103167084178e-10,2.8609290152290138e-11
2000A,0.07487,8.82510167084178e-10,2.5286650031989716e-11
2000A,0.09359,8.82769067084178e-10,3.035840531275359e-11
2000A,0.11231,9.12533567084178e-10,2.489813394651747e-11
2000A,0.13103,8.57106767084178e-10,2.899258742476645e-11
2000A,0.14975,9.41657167084178e-10,2.750635239190805e-11
2000A,0.16847,8.43175567084178e-10,2.7885781011214757e-11
2000A,0.18719,8.64364367084178e-10,2.5561217199240055e-11
2000A,0.20591,8.72890867084178e-10,2.7695586417655534e-11
2000A,0.22462,8.70687467084178e-10,2.8059921903480512e-11
2000A,0.24334,8.58315767084178e-10,2.8278738664239002e-11
2000A,0.26206,8.87227067084178e-10,2.6558247101048024e-11
2000A,0.28078,8.54213267084178e-10,2.475245673485211e-11
2000A,0.2995,8.52527367084178e-10,2.8483111276367364e-11
2000A,0.31822,8.47765567084178e-10,2.5276974053053216e-11
2000A,0.33694,8.63587267084178e-10,2.8450222055546873e-11
2000A,0.35566,8.544116670841779e-10,2.9864260058717775e-11
2000A,0.37437,8.10058867084178e-10,2.588894565512326e-11
2000A,0.39309,8.39477067084178e-10,2.8719524520719794e-11
2000A,0.41181,8.53854367084178e-10,2.6139787201787346e-11
2000A,0.43053,8.46370767084178e-10,2.852203855040389e-11
2000A,0.44925,7.91265367084178e-10,2.714884954252621e-11
2000A,0.46797,8.16983467084178e-10,2.2681106837582368e-11
2000A,0.48669,7.78839467084178e-10,2.6096534043190972e-11
2000A,0.50541,8.14110467084178e-10,2.3399267359133822e-11
2000A,0.52412,7.67576067084178e-10,2.3819197211919754e-11
2000A,0.54284,7.92257267084178e-10,2.72976262233152e-11
2000A,0.56156,7.70075867084178e-10,2.6598761867918323e-11
2000A,0.58028,7.81066467084178e-10,2.600665921682994e-11
2000A,0.599,7.39651367084178e-10,2.6564634696291717e-11
2000A,0.61772,7.86986267084178e-10,2.4012027651964873e-11
2000A,0.63644,7.83335367084178e-10,2.4906490367105636e-11
2000A,0.65516,7.43244867084178e-10,2.4254167208672112e-11
2000A,0.67387,7.530923670841779e-10,2.4393854493267882e-11
2000A,0.69259,7.41797367084178e-10,2.3458578655268647e-11
2000A,0.71131,7.83774967084178e-10,2.2370169644144982e-11
2000A,0.73003,7.41123367084178e-10,2.3438738240910615e-11
2000A,0.74875,7.12433967084178e-10,2.239304751108981e-11
2000A,0.76747,6.86761067084178e-10,2.2163840201495444e-11
2000A,0.78619,6.662357670841779e-10,2.106454577676494e-11
2000A,0.8049,7.28914167084178e-10,2.0522678818454124e-11
2000A,0.82362,6.80685267084178e-10,2.0503291061032753e-11
2000A,0.84234,6.69002067084178e-10,2.0567580553548967e-11
2000A,0.86106,6.59382767084178e-10,2.1849262783213664e-11
2000A,0.87978,6.06811167084178e-10,1.959182398886652e-11
2000A,0.8985,6.14585967084178e-10,2.0219662847305976e-11
2000A,0.91722,6.61396267084178e-10,1.8734005077578195e-11
2000A,0.93594,6.33259567084178e-10,1.8955829075253488e-11
2000A,0.95465,6.12877067084178e-10,1.7977232275003446e-11
2000A,0.97337,5.888119670841779e-10,1.9618765363058034e-11
2000A,0.99209,5.89083867084178e-10,1.762122098040671e-11
2000A,1.01081,5.96367767084178e-10,1.706816975630151e-11
2000A,1.02953,5.95989667084178e-10,1.792835258325275e-11
2000A,1.04825,5.61309967084178e-10,1.5871274354298886e-11
2000A,1.06697,5.725889670841779e-10,1.740791581130336e-11
2000A,1.08569,5.23481567084178e-10,1.684571542025822e-11
2000A,1.1044,5.40482767084178e-10,1.6076650354931697e-11
2000A,1.12312,5.14601667084178e-10,1.616344155673307e-11
